Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.04      0.07     0.07 20192383     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > >(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >) const
  6.02      0.12     0.05  2000000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  6.02      0.17     0.05     6411     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  4.82      0.21     0.04 12999922     0.00     0.00  std::vector<common::Point, std::allocator<common::Point> >::end()
  4.22      0.25     0.04 23888386     0.00     0.00  common::Point::operator<(common::Point const&) const
  3.61      0.28     0.03 17687874     0.00     0.00  std::remove_reference<common::Point&>::type&& std::move<common::Point&>(common::Point&)
  3.61      0.31     0.03   103905     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, __gnu_cxx::__ops::_Iter_less_iter)
  3.61      0.34     0.03        1    30.00   561.78  std::vector<common::Point, std::allocator<common::Point> > common::compute_convex_hull<std::vector<common::Point, std::allocator<common::Point> > >(std::vector<common::Point, std::allocator<common::Point> >)
  3.01      0.36     0.03 27415468     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::__normal_iterator(common::Point* const&)
  3.01      0.39     0.03  1000000     0.00     0.00  common::Point::Point(double, double)
  2.41      0.41     0.02 70434849     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator*() const
  2.41      0.43     0.02 15357158     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::operator--()
  2.41      0.45     0.02  7999917     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >, long>(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >&, long, std::random_access_iterator_tag)
  2.41      0.47     0.02  3999958     0.00     0.00  common::compute_convex_hull<std::vector<common::Point, std::allocator<common::Point> > >(std::vector<common::Point, std::allocator<common::Point> >)::{lambda(common::Point const&, common::Point const&, common::Point const&)#1}::operator()(common::Point const&, common::Point const&, common::Point const&) const
  2.41      0.49     0.02  1999993     0.00     0.00  bool __gnu_cxx::operator==<common::Point const*, common::Point*, std::vector<common::Point, std::allocator<common::Point> > >(__gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > > const&, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&)
  2.41      0.51     0.02  1048638     0.00     0.00  void std::__relocate_object_a<common::Point, common::Point, std::allocator<common::Point> >(common::Point*, common::Point*, std::allocator<common::Point>&)
  2.41      0.53     0.02  1000000     0.00     0.00  common::Point& std::vector<common::Point, std::allocator<common::Point> >::emplace_back<double, double>(double&&, double&&)
  1.81      0.55     0.01  4000000     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  1.81      0.56     0.01  3981077     0.00     0.00  bool __gnu_cxx::operator< <common::Point*, std::vector<common::Point, std::allocator<common::Point> > >(__gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&, __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > > const&)
  1.20      0.57     0.01 30585569     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point*, std::vector<common::Point, std::allocator<common::Point> > >::base() const
  1.20      0.58     0.01 13999995     0.00     0.00  __gnu_cxx::__normal_iterator<common::Point const*, std::vector<common::Point, std::allocator<common::Point> > >::base() const
